Date,Index Level
2017-03-15,100.0
2017-03-16,100.0
2017-03-17,100.26957670024896
2017-03-20,100.68316184878945
2017-03-21,99.94599002339339
2017-03-22,100.03794301539743
2017-03-23,101.7201726344647
2017-03-24,100.7017525008915
2017-03-27,100.71795713785316
2017-03-28,100.74217210809371
2017-03-29,100.59464453774959
2017-03-30,101.01532584170046
2017-03-31,100.5037108824243
2017-04-03,100.50941649806317
2017-04-04,100.24043883403586
2017-04-05,100.45279394695781
2017-04-06,100.70897108725252
2017-04-07,99.92270657860814
2017-04-10,99.46312399286748
2017-04-11,99.72587460804597
2017-04-12,98.78444593175294
2017-04-13,98.84858992998925
2017-04-14,99.75933780360087
2017-04-17,99.19409013325468
2017-04-18,99.48270510428304
2017-04-19,99.4081209462382
2017-04-20,99.3082291520532
2017-04-21,99.89513492228271
2017-04-24,98.96729787511035
2017-04-25,98.50412409166003
2017-04-26,98.216930785099
2017-04-27,97.89222286513572
2017-04-28,97.81728807198887
2017-05-01,99.35270139097943
2017-05-02,98.7228036857163
2017-05-03,98.91739686393123
2017-05-04,99.71199976572062
2017-05-05,98.92889079402917
2017-05-08,99.39243959103081
2017-05-09,98.7842431484936
2017-05-10,98.25959605498566
2017-05-11,99.90764126528987
2017-05-12,99.48858535005685
2017-05-15,99.77055601044138
2017-05-16,100.03942048547796
2017-05-17,99.72440628968988
2017-05-18,99.72971700919203
2017-05-19,101.46024910513376
2017-05-22,100.7596882138603
2017-05-23,100.44436982658976
